name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,enrollment
Hinds Community College,Mississippi,MS,Public,2 Year,4120.0,3130,7250,6170,10290,,,,,,,26403.0
Hiram College,Ohio,OH,Private,4 Year,10290.0,34300,44590,34300,44590,,,,,,,2226.0
Hiwassee College,Tennessee,TN,Private,2 Year,7987.0,19571,27558,19571,27558,,,,,,,729.0
Hobart and William Smith Colleges,New York,NY,Private,4 Year,14785.0,55255,70040,55255,70040,,,,,,,4038.0
Hobe Sound Bible College,Florida,FL,Private,4 Year,6170.0,6490,12660,6490,12660,,,,,,,397.0
Hocking College,Ohio,OH,Public,2 Year,8560.0,4390,12950,8790,17350,,,,,,,5426.0
Hodges University,Florida,FL,Private,4 Year,,17600,17600,17600,17600,,,,,,,4064.0
Hofstra University,New York,NY,Private,4 Year,15948.0,46760,62708,46760,62708,18.0,New-York,57300.0,110400.0,38.0,7.0,20455.0
Hollins University,Virginia,VA,Private,4 Year,13520.0,39035,52555,39035,52555,,,,,,,1658.0
Holmes Community College,Mississippi,MS,Public,2 Year,3080.0,3110,6190,5690,8770,,,,,,,12501.0
Holy Apostles College and Seminary,Connecticut,CT,Private,4 Year,,9670,9670,9670,9670,,,,,,,555.0
Holy Cross College,Indiana,IN,Private,4 Year,11500.0,30820,42320,30820,42320,15.0,Indiana,48100.0,87800.0,,0.0,834.0
Holy Family University,Pennsylvania,PA,Private,4 Year,13576.0,30346,43922,30346,43922,,,,,,,5048.0
Holy Names University,California,CA,Private,4 Year,13190.0,39316,52506,39316,52506,,,,,,,2829.0
Holy Trinity Orthodox Seminary,New York,NY,Private,4 Year,5290.0,7700,12990,7700,12990,,,,,,,
Holyoke Community College,Massachusetts,MA,Public,2 Year,,5760,5760,11940,11940,,,,,,,12949.0
Hood College,Maryland,MD,Private,4 Year,12700.0,39492,52192,39492,52192,25.0,Maryland,47900.0,82600.0,49.0,32.0,4412.0
Hope College,Michigan,MI,Private,4 Year,10310.0,34010,44320,34010,44320,14.0,Michigan,49200.0,90900.0,51.0,18.0,6007.0
Hope International University,California,CA,Private,4 Year,10490.0,33400,43890,33400,43890,,,,,,,2596.0
Hopkinsville Community College,Kentucky,KY,Public,2 Year,,5070,5070,17760,17760,,,,,,,7194.0
Horizon University,California,CA,Private,4 Year,,7700,7700,7700,7700,,,,,,,54.0
Horry-Georgetown Technical College,South Carolina,SC,Public,2 Year,,5248,5248,10408,10408,,,,,,,14136.0
Houghton College,New York,NY,Private,4 Year,9288.0,32488,41776,32488,41776,,,,,,,1863.0
Housatonic Community College,Connecticut,CT,Public,2 Year,,4394,4394,13162,13162,,,,,,,11938.0
Houston Baptist University,Texas,TX,Private,4 Year,8814.0,32530,41344,32530,41344,,,,,,,7154.0
Houston Community College System,Texas,TX,Public,2 Year,,2031,2031,4686,4686,,,,,,,
Howard College,Texas,TX,Public,2 Year,4834.0,2560,7394,5420,10254,,,,,,,8028.0
Howard Community College,Maryland,MD,Public,2 Year,,4920,4920,9060,9060,,,,,,,20872.0
Howard Payne University,Texas,TX,Private,4 Year,8386.0,28090,36476,28090,36476,,,,,,,2071.0
Howard University,,DC,Private,4 Year,13895.0,27056,40951,27056,40951,,,,,,,
Hudson County Community College,New Jersey,NJ,Public,2 Year,,5718,5718,14028,14028,,,,,,,21807.0
Hudson Valley Community College,New York,NY,Public,2 Year,,5640,5640,12915,12915,,,,,,,20685.0
Huertas College,,PR,For Profit,2 Year,,6635,6635,6635,6635,,,,,,,
Hult International Business School,California,CA,Private,4 Year,15000.0,40650,55650,40650,55650,,,,,,,
Humacao Community College,,PR,Private,2 Year,3000.0,5382,8382,5382,8382,,,,,,,
Humboldt State University,California,CA,Public,4 Year,12870.0,7676,20546,19556,32426,,,,,,,16811.0
Humphreys College,California,CA,Private,4 Year,,14292,14292,14292,14292,,,,,,,1854.0
Huntingdon College,Alabama,AL,Private,4 Year,9750.0,27400,37150,27400,37150,14.0,Alabama,42400.0,78900.0,69.0,14.0,2045.0
Huntington College of Health Sciences,Tennessee,TN,For Profit,2 Year,,6635,6635,6635,6635,,,,,,,
Huntington University,Indiana,IN,Private,4 Year,8668.0,26180,34848,26180,34848,,,,,,,2031.0
Huntsville Bible College,Alabama,AL,Private,4 Year,,5390,5390,5390,5390,,,,,,,347.0
"Hussian College, School of Art",Pennsylvania,PA,For Profit,2 Year,,21990,21990,21990,21990,,,,,,,
Husson University,Maine,ME,Private,4 Year,9830.0,18180,28010,18180,28010,10.0,Maine,43300.0,77600.0,52.0,1.0,5637.0
Huston-Tillotson University,Texas,TX,Private,4 Year,7568.0,14346,21914,14346,21914,,,,,,,2535.0
Hutchinson Community College,Kansas,KS,Public,2 Year,5800.0,3000,8800,4230,10030,,,,,,,
IBMC College: Fort Collins,Colorado,CO,For Profit,2 Year,,13010,13010,13010,13010,,,,,,,
ICPR Junior College,,PR,For Profit,2 Year,4000.0,7010,11010,7010,11010,,,,,,,
Idaho State University,Idaho,ID,Public,4 Year,7207.0,7420,14627,22940,30147,3.0,Idaho,50800.0,91800.0,64.0,12.0,22330.0
Ilisagvik College,Alaska,AK,Public,2 Year,13000.0,4300,17300,4300,17300,,,,,,,556.0
Illinois Central College,Illinois,IL,Public,2 Year,,4500,4500,11340,11340,,,,,,,17960.0
Illinois College,Illinois,IL,Private,4 Year,9280.0,33090,42370,33090,42370,,,,,,,1697.0
Illinois Eastern Community Colleges: Frontier Community College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,,
Illinois Eastern Community Colleges: Lincoln Trail College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,,
Illinois Eastern Community Colleges: Olney Central College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,,
Illinois Eastern Community Colleges: Wabash Valley College,Illinois,IL,Public,2 Year,,3730,3730,11008,11008,,,,,,,
